plot_idx,block_idx,block_reward_type,block_forced_type,rewards,forgone_rewards,regrets,perc_opt_actions
3000,12.0,2.0,0.0,0.50677085,0.27916667,,0.06813541,0.7963542
3000,12.0,3.0,1.0,0.5125,0.28020832,,0.0336875,0.8619792
3000,13.0,0.0,0.0,0.49270833,0.26145834,,0.056791667,0.8151042
3000,13.0,1.0,1.0,0.48802084,0.33645833,,0.02696875,0.86822915
3000,13.0,2.0,0.0,0.50677085,0.28541666,,0.06826042,0.7895833
3000,13.0,3.0,1.0,0.5125,0.284375,,0.0336875,0.85520834
3000,14.0,0.0,0.0,0.49270833,0.26770833,,0.056406252,0.8119792
3000,14.0,1.0,1.0,0.48802084,0.30104166,,0.025135417,0.86822915
3000,14.0,2.0,0.0,0.50677085,0.27916667,,0.06316666,0.8015625
3000,14.0,3.0,1.0,0.5125,0.26458332,,0.030479167,0.86510414
3000,15.0,0.0,0.0,0.49270833,0.28020832,,0.056791667,0.81666666
3000,15.0,1.0,1.0,0.48802084,0.346875,,0.025416667,0.87083334
3000,15.0,2.0,0.0,0.50677085,0.28229168,,0.060708333,0.7973958
3000,15.0,3.0,1.0,0.5125,0.31458333,,0.02828125,0.86822915
3000,16.0,0.0,0.0,0.49270833,0.28333333,,0.05434375,0.81614584
3000,16.0,1.0,1.0,0.48802084,0.35416666,,0.024552083,0.87083334
3000,16.0,2.0,0.0,0.50677085,0.28229168,,0.05871875,0.80260414
3000,16.0,3.0,1.0,0.5125,0.27395833,,0.025583332,0.87291664
3000,17.0,0.0,0.0,0.49270833,0.284375,,0.05065625,0.82447916
3000,17.0,1.0,1.0,0.48802084,0.31666666,,0.022927083,0.878125
3000,17.0,2.0,0.0,0.50677085,0.30833334,,0.058864586,0.8052083
3000,17.0,3.0,1.0,0.5125,0.30625,,0.023791667,0.8765625
3000,18.0,0.0,0.0,0.49270833,0.25208333,,0.045968752,0.8354167
3000,18.0,1.0,1.0,0.48802084,0.34166667,,0.019989584,0.8833333
3000,18.0,2.0,0.0,0.50677085,0.275,,0.056791667,0.8046875
3000,18.0,3.0,1.0,0.5125,0.30416667,,0.02234375,0.88072914
3000,19.0,0.0,0.0,0.49270833,0.28958333,,0.045624997,0.8307292
3000,19.0,1.0,1.0,0.48802084,0.359375,,0.020802082,0.8802083
3000,19.0,2.0,0.0,0.50677085,0.28645834,,0.05327083,0.81614584
3000,19.0,3.0,1.0,0.5125,0.27395833,,0.02159375,0.8833333
3000,20.0,0.0,0.0,0.49270833,0.27291667,,0.0434375,0.8375
3000,20.0,1.0,1.0,0.48802084,0.33229166,,0.018645832,0.8875
3000,20.0,2.0,0.0,0.50677085,0.284375,,0.051364586,0.81458336
3000,20.0,3.0,1.0,0.5125,0.28958333,,0.021499999,0.8859375
3000,21.0,0.0,0.0,0.49270833,0.284375,,0.044093747,0.8385417
3000,21.0,1.0,1.0,0.48802084,0.33645833,,0.018156251,0.8875
3000,21.0,2.0,0.0,0.50677085,0.29895833,,0.04971875,0.81927085
3000,21.0,3.0,1.0,0.5125,0.3,,0.02040625,0.88854164
3000,22.0,0.0,0.0,0.49270833,0.30208334,,0.044364583,0.83958334
3000,22.0,1.0,1.0,0.48802084,0.3375,,0.01840625,0.8880208
3000,22.0,2.0,0.0,0.50677085,0.3125,,0.04896875,0.821875
3000,22.0,3.0,1.0,0.5125,0.29166666,,0.018958334,0.8911458
3000,23.0,0.0,0.0,0.49270833,0.29270834,,0.0444375,0.8354167
3000,23.0,1.0,1.0,0.48802084,0.328125,,0.018020833,0.88697916
3000,23.0,2.0,0.0,0.50677085,0.275,,0.049770832,0.82135415
3000,23.0,3.0,1.0,0.5125,0.33020833,,0.017895835,0.89427084
